Distribuidora||Original|Regex|Date
DistribuidoraTwitterAmazonasEnergia|1|"⚡Presidente do conselho da @amazonasenergia diz que perda de validade da MP 998 tornaria 'praticamente impossível' cumprimento de indicadores. Leia no Portal da iNFRA👉🏼 https://t.co/ymdj4URq2H
📸Foto: Amazonas Energia
#energia #MP998 #AmazonasEnergia https://t.co/q8fCPmoJkM"|⚡Presidente do conselho da diz que perda de validade da MP 998 tornaria 'praticamente impossível' cumprimento de indicadores. Leia no Portal da iNFRA👉🏼 📸Foto: Amazonas Energia|2021-02-01 13:01:40
DistribuidoraTwitterAmazonasEnergia|2|@Amazonasenergia tá de brincadeira com o disjuntor? 3 vezes em menos de uma hora!!|tá de brincadeira com o disjuntor? 3 vezes em menos de uma hora!!|2021-01-31 01:32:40
DistribuidoraTwitterAmazonasEnergia|3|@Amazonasenergia gostaria de saber quanto tempo dura esse almoço de toda equipe de atendimento on line. @ProconAmazonas https://t.co/6LhHw8fE0L|gostaria de saber quanto tempo dura esse almoço de toda equipe de atendimento on line.|2021-01-29 17:42:50
CEA|1|Se for na @CEA_AP é capaz de vir mais cara. Aqui em casa foi assim. https://t.co/hmmA6RDZGF|Se for na é capaz de vir mais cara. Aqui em casa foi assim.|2021-02-04 02:29:30
CEA|2|@breendatayane @CEA_AP aqui foi embora 11h e voltou 15h.  lembrei do racionamento|aqui foi embora 11h e voltou 15h. lembrei do racionamento|2021-02-02 18:02:05
CEA|3|Tava demorando a palhaçada @CEA_AP|Tava demorando a palhaçada|2021-02-02 18:01:31
CEA|4|"Começou a época da chuva e iniciou a energia/internet de tapioca... Sem energia no bairro do Trem e a previsão de retorno é ""a qqr momento"" tem mais de uma hora... @CEA_AP @OCriador"|"Começou a época da chuva e iniciou a energia/internet de tapioca... Sem energia no bairro do Trem e a previsão de retorno é ""a qqr momento"" tem mais de uma hora..."|2021-02-02 15:55:59
CEA|5|@CEA_AP a energia foi passear|a energia foi passear|2021-02-02 14:17:03
CEA|6|"Deu uma queda de energia e 2 tomadas pararam de passar corrente 😡😡🤬
@CEA_AP"|Deu uma queda de energia e 2 tomadas pararam de passar corrente 😡😡🤬|2021-02-02 01:18:16
CEA|7|já perdi a conta de quantas quedas de energia já tiveram de 4 da manhã até agora, aí no final do mês a @CEA_AP cobra 900 reais de uma energia que a gente nem usa direito.|já perdi a conta de quantas quedas de energia já tiveram de 4 da manhã até agora, aí no final do mês a cobra 900 reais de uma energia que a gente nem usa direito.|2021-01-30 07:42:54
CEA|8|@CEA_AP mais im dia no residencial irmãos platon, mais um dia de chuva, pode ter certeza de que haverá falta de luz. #semluz #ceaap parece nunca resolver o problema para sempre ter o que fazer. Parece aqueles mecânicos que nunca concertao teu carro para sempre ter como ganhar.|mais im dia no residencial irmãos platon, mais um dia de chuva, pode ter certeza de que haverá falta de luz. parece nunca resolver o problema para sempre ter o que fazer. Parece aqueles mecânicos que nunca concertao teu carro para sempre ter como ganhar.|2021-01-30 07:33:33
CEA|9|@CEA_AP não vai conseguir nunca manter um serviço digno em período de chuva?|não vai conseguir nunca manter um serviço digno em período de chuva?|2021-01-30 07:07:09
CEA|10|Cadê a energia dona @CEA_AP ? Qual foi o problema agora? Bairro Santa Rita sem energia.|Cadê a energia dona ? Qual foi o problema agora? Bairro Santa Rita sem energia.|2021-01-29 21:05:59
CEA|11|@CEA_AP  Natal já passou|Natal já passou|2021-01-29 21:03:46
CEA|12|@CEA_AP  desgraçada de novo isso|desgraçada de novo isso|2021-01-29 21:03:01
CEA|13|Alô @CEA_AP vem aqui na Leopoldo Machado de esquina com a Piauí q o vento fez os fios se encontrarem e nós estamos sem luz|Alô vem aqui na Leopoldo Machado de esquina com a Piauí q o vento fez os fios se encontrarem e nós estamos sem luz|2021-01-29 16:03:44
CEA|14|já caiu a energia 4x nesta manhã, @CEA_AP ******|já caiu a energia 4x nesta manhã, ******|2021-01-29 14:44:53
CEA|15|@micaellislvdr @CEA_AP eita.🕯|eita.🕯|2021-01-29 00:07:32
CEA|16|@Sr_Manfredi @CEA_AP @ANEEL_govbr 💔🔨|💔🔨|2021-01-28 23:58:52
CEA|17|@PizzaComCerveja @CEA_AP @ANEEL_govbr Na 1 queda de energia aqui eu desliguei o disjuntor geral logo... Pq claro alguma coisa iria queimar|Na 1 queda de energia aqui eu desliguei o disjuntor geral logo... Pq claro alguma coisa iria queimar|2021-01-28 23:55:05
CEA|18|500 reais por mês de energia pra ter um serviço bosta desse @CEA_AP @ANEEL_govbr|500 reais por mês de energia pra ter um serviço bosta desse|2021-01-28 23:47:24
CEA|19|RT @mrciocipriano: @CEA_AP rodizio de energia voltou? Todo dia faltando luz no marabaixo viu|rodizio de energia voltou? Todo dia faltando luz no marabaixo viu|2021-01-28 23:20:17
CEA|20|@CEA_AP rodizio de energia voltou? Todo dia faltando luz no marabaixo viu|rodizio de energia voltou? Todo dia faltando luz no marabaixo viu|2021-01-28 23:19:05
CEA|21|@rflinry @CEA_AP Ultimamente esse título só serve pra dizer o quando a gente se fode|Ultimamente esse título só serve pra dizer o quando a gente se fode|2021-01-28 21:21:47
CEA|22|@heyluq @CEA_AP Enfim, brasileiros kkkk|Enfim, brasileiros kkkk|2021-01-28 21:20:51
CEA|23|@rflinry @CEA_AP A gente ri, mas a raiva ta presente kkkkkk|A gente ri, mas a raiva ta presente kkkkkk|2021-01-28 21:20:16
CEA|24|@heyluq @CEA_AP HHAHAHAHAAHAHAHAHAHA|HHAHAHAHAAHAHAHAHAHA|2021-01-28 21:19:42
CEA|25|RT @heyluq: @rflinry @CEA_AP E ele fez de tudo pra te ajudahhhh|E ele fez de tudo pra te ajudahhhh|2021-01-28 21:19:35
CEA|26|@rflinry @CEA_AP E ele fez de tudo pra te ajudahhhh|E ele fez de tudo pra te ajudahhhh|2021-01-28 21:15:00
CEA|27|@heyluq @CEA_AP É que ele paga as contas dele em diahhhh|É que ele paga as contas dele em diahhhh|2021-01-28 21:09:03
CEA|28|@rflinry @CEA_AP Total, ele fala como se todo mundo tivesse 100% depois de tudo que passamos|Total, ele fala como se todo mundo tivesse 100% depois de tudo que passamos|2021-01-28 21:05:57
CEA|29|RT @heyluq: @rflinry @CEA_AP Ele pegou a empatia e enfiou no cu dele|Ele pegou a empatia e enfiou no cu dele|2021-01-28 21:05:14
CEA|30|@heyluq @CEA_AP Que desumano. Falou o empregado quem tem dinheiro e deixa as contas em dia|Que desumano. Falou o empregado quem tem dinheiro e deixa as contas em dia|2021-01-28 21:05:10
CEA|31|@rflinry @CEA_AP Ele pegou a empatia e enfiou no cu dele|Ele pegou a empatia e enfiou no cu dele|2021-01-28 21:03:52
CEA|32|Gente, a @CEA_AP veio cortar minha luz, paguei na mesma hora e pedi a religação alegando que precisava de prioridade pois tenho um filho autista de 4 anos. E ai um funcionário me abordou da seguinte forma... https://t.co/PoiSK1f3Ga|Gente, a veio cortar minha luz, paguei na mesma hora e pedi a religação alegando que precisava de prioridade pois tenho um filho autista de 4 anos. E ai um funcionário me abordou da seguinte forma...|2021-01-28 21:01:32
CEA|33|RT @CEA_AP: Devido às medidas de segurança no combate à Covid-19, a CEA continua adotando o sistema de agendamento do atendimento presencia…|Devido às medidas de segurança no combate à Covid-19, a CEA continua adotando o sistema de agendamento do atendimento presencia…|2021-01-28 17:53:39
CEA|34|RT @CEA_AP: Devido às medidas de segurança no combate à Covid-19, a CEA continua adotando o sistema de agendamento do atendimento presencia…|Devido às medidas de segurança no combate à Covid-19, a CEA continua adotando o sistema de agendamento do atendimento presencia…|2021-01-28 16:36:21
CEA|35|Arrume logo a energia do meu  bairro dona @CEA_AP|Arrume logo a energia do meu bairro dona|2021-01-28 14:50:39
CEB|1|@CEBDistribuicao Obrigado por nos deixar sem energia há mais de 12 horas após reparos na rede do condomínio no SHTN que durou de 9 até às 16:00hs de ontem, e até agora sem previsão de luz 💡|Obrigado por nos deixar sem energia há mais de 12 horas após reparos na rede do condomínio no SHTN que durou de 9 até às 16:00hs de ontem, e até agora sem previsão de luz 💡|2021-02-04 19:50:32
CEB|2|"@CEBDistribuicao olá moro na colonia agricola samambaia. Tem alguma previsão de volta da energia.

Cod: 755434"|olá moro na colonia agricola samambaia. Tem alguma previsão de volta da energia. Cod: 755434|2021-02-04 19:09:30
CEB|3|@BrunnoMeloCBN @CEBDistribuicao E quando não cai a luz cai a Internet...|E quando não cai a luz cai a Internet...|2021-02-04 18:41:51
CEB|4|@_mooura__ @CEBDistribuicao Tá foda|Tá foda|2021-02-04 18:22:55
CEB|5|todo dia acaba a luz que bussanha ein @CEBDistribuicao|todo dia acaba a luz que bussanha ein|2021-02-04 17:27:47
CEB|6|RT @martins_rayan: Aí @CEBDistribuicao vai tomar no meio do olho do seu cu|Aí vai tomar no meio do olho do seu cu|2021-02-04 15:43:30
CEB|7|Aí @CEBDistribuicao vai tomar no meio do olho do seu cu|Aí vai tomar no meio do olho do seu cu|2021-02-04 15:41:44
CEB|8|@adauto_pacheco @CEBDistribuicao KKKKKKKKKKKKKKKKKKKKKKKKKK EU NEM VOU SAIR DE CASA HOJE PQ SE EU VER ALGUM DELES EU VOU DIRETO PRA CASCAVEL|KKKKKKKKKKKKKKKKKKKKKKKKKK EU NEM VOU SAIR DE CASA HOJE PQ SE EU VER ALGUM DELES EU VOU DIRETO PRA CASCAVEL|2021-02-04 15:28:07
CEB|9|@pedrinhohlopes @CEBDistribuicao MANO TINHA LUZ EM TODOS OS LUGARES, MENOS NA NOSSA RUA FF KKKKKKKKKKKKKKKKKKKKKKKKKKKK SE EU VER UM CARA DA CEB HOJE O PAU VAI CANTAR|MANO TINHA LUZ EM TODOS OS LUGARES, MENOS NA NOSSA RUA FF KKKKKKKKKKKKKKKKKKKKKKKKKKKK SE EU VER UM CARA DA CEB HOJE O PAU VAI CANTAR|2021-02-04 15:27:09
CEB|10|@adauto_pacheco @CEBDistribuicao vai tomar no cu mano, eu odeio esse serviço lixo, luz cara pra caralho pra tu ficar mais de 12h sem energia|vai tomar no cu mano, eu odeio esse serviço lixo, luz cara pra caralho pra tu ficar mais de 12h sem energia|2021-02-04 15:20:49
CEB|11|@adauto_pacheco @CEBDistribuicao KAKKAKAKAKAKAKAKAKA sai dessa roça|KAKKAKAKAKAKAKAKAKA sai dessa roça|2021-02-04 15:20:35
