Date|Distribuidora||Original|Regex|Processado|No Stopwords
2021-02-04|Light|1|"@lightclientes 
#Luz#0414538976
Boa noite !! 
Por favor, a chuva passou agora o calor está demais.. Preciso arrumar minhas coisas pra trabalhar."|Boa noite !! Por favor, a chuva passou agora o calor está demais.. Preciso arrumar minhas coisas pra trabalhar.|boa noite favor chuva passou agora calor demais preciso arrumar coisas trabalhar|boa noite favor chuva passou agora calor demais preciso arrumar coisas trabalhar
2021-02-04|Light|2|Alô @lightclientes bento Ribeiro sem luz , rua conde resende|Alô bento Ribeiro sem luz , rua conde resende|luz conde|luz conde
2021-02-04|Light|3|Sem luz 😭😭alô @lightclientes !!!|Sem luz 😭😭alô !!!|alô|alô
2021-02-04|Light|4|Sem luz em Bento Ribeiro, valeu @lightclientes|Sem luz em Bento Ribeiro, valeu|luz bento ribeiro valeu|luz bento ribeiro valeu
2021-02-04|Light|5|@lightclientes preciso da luz calor do caralho e jogo 21:00|preciso da luz calor do caralho e jogo 21:00|luz calor jogo|luz calor jogo
2021-02-04|Light|6|"Está dura a vida do carioca! Se tem luz não tem água, se tem água (com geosmina), não tem luz!

@lightclientes , dá uma força aí!
Freguesia apagada!

#RiodeJaneiro #semluz #light"|Está dura a vida do carioca! Se tem luz não tem água, se tem água (com geosmina), não tem luz! , dá uma força aí! Freguesia apagada!|dura vida carioca luz água água geosmina luz dá força aí freguesia apagada|dura vida carioca luz água água geosmina luz dá força aí freguesia apagada
2021-02-04|Light|7|Koe @lightclientes calor desses faltar luz é mtaaaaa tristeza|Koe calor desses faltar luz é mtaaaaa tristeza|faltar luz tristeza|faltar luz tristeza
2021-02-04|Light|8|"@lightclientes
 Ontem um funcionário de vocês estiveram no prédio que moro e deixou o prédio com apenas uma fase! Estamos sem pode ligar a bomba de água, ninguém vem consertar. Estou colecionando protocolos, mas ninguém vem. 
@ProconRJ
 ajuda aí tbm. Imagina nesse calor sem água"|Ontem um funcionário de vocês estiveram no prédio que moro e deixou o prédio com apenas uma fase! Estamos sem pode ligar a bomba de água, ninguém vem consertar. Estou colecionando protocolos, mas ninguém vem. ajuda aí tbm. Imagina nesse calor sem água|ontem funcionário prédio deixou prédio apenas fase ligar bomba água vem consertar colecionando protocolos vem ajuda aí tbm imagina calor água|ontem funcionário prédio deixou prédio apenas fase ligar bomba água vem consertar colecionando protocolos vem ajuda aí tbm imagina calor água
2021-02-04|Light|9|@Bs4ntos @lightclientes vamos tomar uma providência aí né!!|vamos tomar uma providência aí né!!|tomar providência aí|tomar providência aí
2021-02-04|Light|10|@lightclientes se queimar meus bagulho vai dar ruim pra vocês|se queimar meus bagulho vai dar ruim pra vocês|queimar bagulho dar ruim|queimar bagulho dar ruim
