Distribuidora||Regex|Date
Light|1|segunda vez no ano pelo amor de deus ne|2021-02-01 11:31:28
Light|2|situação muito chata essa, conta de luz em dia e o atendimento de vocês em falta.|2021-02-01 11:16:30
Light|3|segue número do último pedido de atendimento 2162991952 protocolo. É um descaso muito grande da parte de vocês...|2021-02-01 10:57:25
Light|4|Pq a demora para enviar um caminhão para verificar o poste? E está gravado com protocolo, pois o atendente já pediu para verificar o disjuntor!|2021-02-01 10:47:02
Light|5|Bom dia ainda não teve a presença da equipe da light, complicado essa situação...|2021-02-01 10:45:42
Light|6|Foi verificado....inclusive no primeiro dia... E nada sem luz|2021-02-01 10:42:40
Light|7|Já enviei tudo por DM, q se resolva o quanto antes pq já passou de 5h57min, prazo passado por vcs|2021-02-01 09:59:13
Light|8|VOCÊS SÃO UMA VERGONHA PARA O RIO DE JANEIRO E O BRASIL. COVARDES,DESUMANOS E INCOMPETENTES|2021-02-01 09:48:42
Light|9|"Estou ""documentando"" tudo conforme meu advogado estão me orientando; inclusive todo o mal estar e o risco que vocês estão causando a minha mãe idosa e a criança que moram comigo."|2021-02-01 09:47:06
Light|10|Vocês são no tipo de empresa desumana e incompetente que trazem vergonha ao Brasil. Já informei meu problema, cód cliente e cód instalação e nada.|2021-02-01 09:45:01
Light|11|E a que deixou a gente passar um calor dos infernos essa madrugada? Praticamente não dormi e até agora nada da normalização do serviço... Péssimo|2021-02-01 09:30:16
Light|12|5 dias sem luz! Não foi resolvido... o mais breve possível respondido nas mensagens É mentira.|2021-02-01 09:01:48
Light|13|código do cliente : 33412789 Rua da Jangada , código de instalação : 430176160|2021-02-01 08:59:20
Light|14|A situação atual e que continua sem luz Qual a situação atual do local? Esta ocorrendo alguma anormalidade no momento?|2021-02-01 08:57:13
Light|15|Hoje vcs se superaram até agora sem luz Olá, bom dia. Espero que esteja tudo bem com você. Você comunica a falta de luz enviando por DM para o instalação, com espaço. Ex: 040666663. Obrigado!|2021-02-01 08:54:10
Light|16|Hoje vcs se superaram até agora sem luz Olá, bom dia. Espero que esteja tudo bem com você. Você comunica a falta de luz enviando por DM para o instalação, com espaço. Ex: 040666663. Obrigado!|2021-02-01 08:53:31
Light|17|Não estamos bem não, minha família me corrigiu aqui pois vai fazer mais de 36h, a necessidade de equipe no local. Mas não vieram! Tudo na geladeira estragou e TUMOR mano! É difícil viu...|2021-02-01 08:20:16
Light|18|Essa Light é uma vergonha. Ficamos sem luz das 23h de quarta até às 18h de sexta. Sábado ainda tinha vizinho sem luz. Ontem as 23h acabou de novo e até agora nada|2021-02-01 08:04:57
Light|19|O que a fez com a minha família nesse final de semana é desumano. Mais de 24h de espera por um reparo. Não é só o calor, é o fato de eu ter um possível tumor cerebral msmo e a dores msm. Obrigada Light minha realidade não estava difícil o suficiente!|2021-02-01 07:35:41
Light|20|0413242427|2021-02-01 07:32:47
Light|21|Voltou a luz por volta de 2h e caiu novamente. 🤦‍♀️|2021-02-01 07:15:07
Light|22|Está comunicado|2021-02-01 07:14:36
Light|23|0420997450|2021-02-01 07:01:22
Light|24|Kkkk|2021-02-01 05:26:31
Light|25|Você comunica a falta de luz enviando por DM para o instalação, com espaço. Ex: 040666663. Obrigado!|2021-02-01 05:12:22
Light|26|mandei. tem previsão?|2021-02-01 05:05:10
Light|27|oscilação de luz é essa gente, mandei co d de instalação e nada de resposta. 18 minutos no telefone e aço a ligação, carai tá difícil.|2021-02-01 04:56:25
Light|28|Oscilação danada de luz em Light. Coo dormir nesse calor, deixo registrado aqui pois se queimar minha geladeira procurarei meus direitos.|2021-02-01 04:52:04
Light|29|0420300830|2021-02-01 04:48:36
Light|30|obrigado pela falta de luz no jardim botânico. to sobrevivendo a 30 graus sem ventilador|2021-02-01 04:41:51
Light|31|Olá, bom dia. Espero que esteja tudo bem com você. Você comunica a falta de luz enviando por DM para o instalação, com espaço. Ex: 040666663. Obrigado!|2021-02-01 04:41:06
Light|32||2021-02-01 04:39:18
Light|33|foi transformador???|2021-02-01 04:35:21
Light|34|estou sem luz código do cliente: 22739086|2021-02-01 04:34:14
Light|35|É serio isso? To desde as 23:08 sem luz, voces pedem pra eu mandar mensagem na dm pra ter mais informações, pra chegar lá e dizer que é pra eu aguardar? Voces tao de sacanagem????!!! Isso é uma vergonha|2021-02-01 04:30:03
Light|36|Kkkkkkkkkk|2021-02-01 04:29:35
Light|37|Bom dia o caralho e não tem nd bem porra|2021-02-01 04:27:11
Light|38|Você comunica a falta de luz enviando por DM para o instalação, com espaço. Ex: 040666663. Obrigado!|2021-02-01 04:26:52
Light|39|Você comunica a falta de luz enviando por DM para o instalação, com espaço. Ex: 040666663. Obrigado!|2021-02-01 04:26:22
Light|40|Ja enviei, só falta voces responderem né|2021-02-01 04:26:07
Light|41|De aonde você é?|2021-02-01 04:26:03
Light|42|Nem fala|2021-02-01 04:25:54
Light|43|vão ficar nessa putaria de desligar luz td hr? Bando de filho da puta|2021-02-01 04:24:30
Light|44|Mano, acabou a luz e eu estou c 20% de bateria, véi! pavuna pede socorro kkkkkkk|2021-02-01 04:24:08
Light|45|Não|2021-02-01 04:24:01
Light|46|PORRA FALTOU LUZ DO NADA, AH NAO, TA UM INFERNO DE CALOR O RJ|2021-02-01 04:21:16
Light|47|Enviar teu cu porra já voltou|2021-02-01 04:20:15
Light|48|Nao está nada bem com a falta de luz todo dia na parte da noite! Quero alguma providencia da parte de voces, a conta esta paga e o serviço de voces nao esta sendo cumprido. Todo dia na parte da noite faltar luz em pleno verao do RJ, é de uma tremenda crueldade. Tomem atitude|2021-02-01 04:19:41
Light|49|Nada bem, já estamos esperando um retorno de vcs e nada|2021-02-01 04:16:49
Light|50|da pra mandar uma equipe ligar a luz ou ta dificil? 5 dias seguidos caindo luz na parte da noite. Só no mes de janeiro foram 11 dias assim!!! Voces sao uma vergonha|2021-02-01 04:16:22
Light|51|Você comunica a falta de luz enviando por DM para o instalação, com espaço. Ex: 040666663. Obrigado!|2021-02-01 04:16:05
Light|52|Blá blá blá blá, responder aos usuários o pq da falta de luz até agora nada né|2021-02-01 04:15:00
Light|53|Amém minha amigo|2021-02-01 04:14:52
Light|54|Olá, bom dia. Espero que esteja tudo bem com você. Você comunica a falta de luz enviando por DM para o instalação, com espaço. Ex: 040666663. Obrigado!|2021-02-01 04:14:50
Light|55|Você comunica a falta de luz enviando por DM para o instalação, com espaço. Ex: 040666663. Obrigado!|2021-02-01 04:14:32
Light|56|Não adianta comunicar, nem por aqui nem via Facebook eles não respondem 😡|2021-02-01 04:14:02
Light|57|Tudo péssimo, vc estragando nossa noite|2021-02-01 04:12:15
Light|58|Graças a Deus|2021-02-01 04:11:52
Light|59|Aqui tem! Dessa vez não caiu aqui.|2021-02-01 04:11:28
Light|60||2021-02-01 04:11:07
Light|61||2021-02-01 04:10:56
Light|62||2021-02-01 04:10:29
Light|63||2021-02-01 04:10:12
Light|64||2021-02-01 04:09:59
Light|65||2021-02-01 04:09:51
Light|66|a fica 2 dias fazendo manutenção na minha rua, pra chegar de madrugada e a luz ficar piscando. Parabéns pelo o serviço porco 👏🏻👏🏻|2021-02-01 04:09:51
Light|67||2021-02-01 04:09:41
Light|68||2021-02-01 04:09:34
Light|69||2021-02-01 04:09:29
Light|70|Olá! Você comunica a falta de luz enviando por DM para o instalação, com espaço. Ex: 040666663. Obrigado!|2021-02-01 04:09:27
Light|71||2021-02-01 04:09:23
Light|72|sem 410042801|2021-02-01 04:09:12
Light|73||2021-02-01 04:09:11
Light|74|sem 410042801|2021-02-01 04:09:05
Light|75|Aí tem luz? Na principal ta sem Piscou mas caiu dnv|2021-02-01 04:08:11
Light|76|infelizmente eu não sei o número de instalação, sabe q horas a luz vai voltar?|2021-02-01 04:08:04
Light|77|sem e vcs não respondem o DM|2021-02-01 04:06:34
Light|78|sem 410042801 e vcs não respondem o DM|2021-02-01 04:06:21
Light|79|tem condições de voltar a luz na Pavuna, tá muito calorrrrr|2021-02-01 04:05:56
Light|80|Você comunica a falta de luz enviando por DM para o instalação, com espaço. Ex: 040666663. Obrigado!|2021-02-01 04:05:50
Light|81|Sem 410042801|2021-02-01 04:05:31
Light|82|sua família n te ama|2021-02-01 04:05:28
Light|83|Tenho medicamento que necessita de resfriamento! Tenho idosos em casa! Atenção ! Moro em Pavuna!|2021-02-01 04:05:19
Light|84|Sem luz 410042801|2021-02-01 04:04:44
Light|85|Já que vcs ficam no robô da resposta vou ficar também, não tem luz mesmo pra dormi|2021-02-01 04:04:29
Light|86|Atenção , sem energia na Pavuna! CEP 21.520-030|2021-02-01 04:03:34
Light|87|EZN na Pavuna sem luz querida light, minha conta está dia, cadê a luz?|2021-02-01 04:02:36
Light|88||2021-02-01 04:02:13
Light|89|Já foi feito e nada de resposta de vcs, até pelo mensager já foi enviado e vcs não respondem|2021-02-01 04:01:45
Light|90|E aí aqui na Pavuna está sem luz já fiz isso aí que vcs adoram copiar e colar mas responder alguma coisa viável nada código 410042801|2021-02-01 04:00:32
Light|91|E óbvio que não está tudo bem né, palhaçada aí o código que vcs adoram pedir 410042801 Pavuna|2021-02-01 03:59:09
Light|92|410042801 Pavuna sem luz 😡|2021-02-01 03:57:39
Light|93|Bem que eu escutei um estrondo daqui hahaha|2021-02-01 03:57:32
Light|94|Não não tá olha o calor que tá fazendo|2021-02-01 03:56:02
Light|95|Você comunica a falta de luz enviando por DM para o instalação, com espaço. Ex: 040666663. Obrigado!|2021-02-01 03:55:56
Light|96|Você comunica a falta de luz enviando por DM para o instalação, com espaço. Ex: 040666663. Obrigado!|2021-02-01 03:55:24
Light|97|vc poderia fazer a luz voltar por favor|2021-02-01 03:50:52
Light|98|sem na Pavuna 410042801😡|2021-02-01 03:49:32
Light|99|pelo amor de deus tá muito quente volta com a luz|2021-02-01 03:48:50
Light|100|eai um calor do caralho e sem energia porra que isso|2021-02-01 03:48:31
Light|101|koe podem restabelecer a luz por favor|2021-02-01 03:46:54
Light|102|POR DEUS DEU UM APAGÃO FODIDO AQUI NA PAVUNA RJ ESTOUROU O TRANSFORMADOR SOCORRO TA CALOR DEMAIS PRA FICAR SEM LUZ|2021-02-01 03:46:34
Light|103|E pra acabar com o resto do meu domingo. cadê a luz?|2021-02-01 03:42:55
Light|104|CADÊ A P**** DA LUZ um calor do cão vocês tão de sacanagem!!!!!|2021-02-01 03:42:31
Light|105|UM MÊS CAINDO LUZ TODO DIA!!! O Q Q TÁ ACONTECENDO??? SOCORRO!! MAIS UMA NOITE NÃO DORMINDO POR CAUSA DE APAGÃO!!! TÔ COM UMA SENHORA ACAMADA EM CASA!!!|2021-02-01 03:33:30
Light|106|"Que resposta desgraçada é essa que vcs dão??? ""Bem"" qlqr um estaria se vocês não estivessem fazendo um serviço, no mínimo, lamentável. É Isso é tirar sarro do consumidor!"|2021-02-01 03:22:19
Light|107|Estamos sem luz na Rua do Governo No Barata em Realengo urgente Muito mosquito por aqui...|2021-02-01 03:21:32
Light|108|Subestação da de Botafogo tá pegando fogo! Moradores do Morro Santa Marta também estão sem luz, al…|2021-02-01 03:14:56
Light|109|"E estarei atenta ao desconto dessa gracinha toda na ""taxa de distribuição"" de vocês."|2021-02-01 03:07:19
Light|110|VAI TOMAR NO CU, Todo dia no mesmo horário|2021-02-01 03:06:41
Light|111|Olá, bom dia. Espero que esteja tudo bem com você. Você comunica a falta de luz enviando por DM para o instalação, com espaço. Ex: 040666663. Obrigado!|2021-02-01 03:05:46
Light|112|mais de seis horas no calor do rio de Janeiro SEM ENERGIA!!! É comida que ta pra perder. É minha saúde que tá mal. CADÊ A LUZ?? 🤬|2021-02-01 03:05:41
Light|113|segunda queixa pública do dia. Parabéns pelo prêmio de empresa do descaso! Cadê a minha luz??? 🤬|2021-02-01 03:01:59
