Distribuidora||Original|Regex|Date
Light|1|@lightclientes segunda vez no ano pelo amor de deus ne https://t.co/c2oy95QtmR|segunda vez no ano pelo amor de deus ne|2021-02-01 11:31:28
Light|2|@lightclientes @lightclientes situação muito chata essa, conta de luz em dia e o atendimento de vocês em falta.|situação muito chata essa, conta de luz em dia e o atendimento de vocês em falta.|2021-02-01 11:16:30
Light|3|"@lightclientes @lightclientes segue número do último pedido de atendimento 2162991952 protocolo.
É um descaso muito grande da parte de vocês..."|segue número do último pedido de atendimento 2162991952 protocolo. É um descaso muito grande da parte de vocês...|2021-02-01 10:57:25
Light|4|@lightclientes Pq a demora para enviar um caminhão para verificar o poste? E está gravado com protocolo, pois o atendente já pediu para verificar o disjuntor!|Pq a demora para enviar um caminhão para verificar o poste? E está gravado com protocolo, pois o atendente já pediu para verificar o disjuntor!|2021-02-01 10:47:02
Light|5|@lightclientes Bom dia @lightclientes ainda não teve a presença da equipe da light, complicado essa situação...|Bom dia ainda não teve a presença da equipe da light, complicado essa situação...|2021-02-01 10:45:42
Light|6|@lightclientes Foi verificado....inclusive no primeiro dia... E nada sem luz|Foi verificado....inclusive no primeiro dia... E nada sem luz|2021-02-01 10:42:40
Light|7|@lightclientes Já enviei tudo por DM, q se resolva o quanto antes pq já passou de 5h57min, prazo passado por vcs|Já enviei tudo por DM, q se resolva o quanto antes pq já passou de 5h57min, prazo passado por vcs|2021-02-01 09:59:13
Light|8|"@lightclientes VOCÊS SÃO UMA VERGONHA PARA O RIO DE JANEIRO E O BRASIL.
COVARDES,DESUMANOS E
INCOMPETENTES"|VOCÊS SÃO UMA VERGONHA PARA O RIO DE JANEIRO E O BRASIL. COVARDES,DESUMANOS E INCOMPETENTES|2021-02-01 09:48:42
Light|9|"@lightclientes Estou ""documentando"" tudo conforme meu advogado estão me orientando; inclusive todo o mal estar e o risco que vocês estão causando a minha mãe idosa e a criança que moram comigo."|"Estou ""documentando"" tudo conforme meu advogado estão me orientando; inclusive todo o mal estar e o risco que vocês estão causando a minha mãe idosa e a criança que moram comigo."|2021-02-01 09:47:06
Light|10|@lightclientes Vocês são no tipo de empresa desumana e incompetente que trazem vergonha ao Brasil. Já informei meu problema, cód cliente e cód instalação e nada.|Vocês são no tipo de empresa desumana e incompetente que trazem vergonha ao Brasil. Já informei meu problema, cód cliente e cód instalação e nada.|2021-02-01 09:45:01
Light|11|E a @lightclientes que deixou a gente passar um calor dos infernos essa madrugada? Praticamente não dormi e até agora nada da normalização do serviço... Péssimo|E a que deixou a gente passar um calor dos infernos essa madrugada? Praticamente não dormi e até agora nada da normalização do serviço... Péssimo|2021-02-01 09:30:16
Light|12|@lightclientes 5 dias sem luz! Não foi resolvido... o mais breve possível respondido nas mensagens É mentira.|5 dias sem luz! Não foi resolvido... o mais breve possível respondido nas mensagens É mentira.|2021-02-01 09:01:48
Light|13|@lightclientes código do cliente : 33412789 Rua da Jangada  , código de instalação : 430176160|código do cliente : 33412789 Rua da Jangada , código de instalação : 430176160|2021-02-01 08:59:20
Light|14|A situação atual e que continua sem luz RT @lightclientes: @jorgejjm Qual a situação atual do local? Esta ocorrendo alguma anormalidade no momento?|A situação atual e que continua sem luz Qual a situação atual do local? Esta ocorrendo alguma anormalidade no momento?|2021-02-01 08:57:13
Light|15|"RT @jorgejjm: Hoje vcs se superaram até agora sem luz RT @lightclientes: @jorgejjm Olá, bom dia. Espero que esteja tudo bem com você.
Você comunica a falta de luz enviando por DM para o @lightclientes #luz instalação, com espaço. Ex: #luz 040666663. Obrigado!"|Hoje vcs se superaram até agora sem luz Olá, bom dia. Espero que esteja tudo bem com você. Você comunica a falta de luz enviando por DM para o instalação, com espaço. Ex: 040666663. Obrigado!|2021-02-01 08:54:10
Light|16|"Hoje vcs se superaram até agora sem luz RT @lightclientes: @jorgejjm Olá, bom dia. Espero que esteja tudo bem com você.
Você comunica a falta de luz enviando por DM para o @lightclientes #luz instalação, com espaço. Ex: #luz 040666663. Obrigado!"|Hoje vcs se superaram até agora sem luz Olá, bom dia. Espero que esteja tudo bem com você. Você comunica a falta de luz enviando por DM para o instalação, com espaço. Ex: 040666663. Obrigado!|2021-02-01 08:53:31
Light|17|@lightclientes Não estamos bem não, minha família me corrigiu aqui pois vai fazer mais de 36h, a necessidade de equipe no local. Mas não vieram! Tudo na geladeira estragou e TUMOR mano! É difícil viu...|Não estamos bem não, minha família me corrigiu aqui pois vai fazer mais de 36h, a necessidade de equipe no local. Mas não vieram! Tudo na geladeira estragou e TUMOR mano! É difícil viu...|2021-02-01 08:20:16
Light|18|@vivisfranca @lightclientes Essa Light é uma vergonha. Ficamos sem luz das 23h de quarta até às 18h de sexta. Sábado ainda tinha vizinho sem luz. Ontem as 23h acabou de novo e até agora nada|Essa Light é uma vergonha. Ficamos sem luz das 23h de quarta até às 18h de sexta. Sábado ainda tinha vizinho sem luz. Ontem as 23h acabou de novo e até agora nada|2021-02-01 08:04:57
Light|19|O que a @lightclientes fez com a minha família nesse final de semana é desumano. Mais de 24h de espera por um reparo. Não é só o calor, é o fato de eu ter um possível tumor cerebral msmo e a dores msm. Obrigada Light minha realidade não estava difícil o suficiente!|O que a fez com a minha família nesse final de semana é desumano. Mais de 24h de espera por um reparo. Não é só o calor, é o fato de eu ter um possível tumor cerebral msmo e a dores msm. Obrigada Light minha realidade não estava difícil o suficiente!|2021-02-01 07:35:41
Light|20|@lightclientes #luz 0413242427|0413242427|2021-02-01 07:32:47
Light|21|@lightclientes @Prefeitura_Rio @GovRJ @subcentrorio Voltou a luz por volta de 2h e caiu novamente. 🤦‍♀️|Voltou a luz por volta de 2h e caiu novamente. 🤦‍♀️|2021-02-01 07:15:07
Light|22|@lightclientes @Prefeitura_Rio @GovRJ @subcentrorio Está comunicado|Está comunicado|2021-02-01 07:14:36
Light|23|@lightclientes #luz 0420997450|0420997450|2021-02-01 07:01:22
Light|24|@Ramoss_Crvg @lightclientes Kkkk|Kkkk|2021-02-01 05:26:31
Light|25|@kyliejennexs Você comunica a falta de luz enviando por DM para o @lightclientes #luz instalação, com espaço. Ex: #luz 040666663. Obrigado!|Você comunica a falta de luz enviando por DM para o instalação, com espaço. Ex: 040666663. Obrigado!|2021-02-01 05:12:22
Light|26|@lightclientes mandei. tem previsão?|mandei. tem previsão?|2021-02-01 05:05:10
Light|27|"@lightclientes oscilação de luz é essa gente, mandei #luz co d de instalação e nada de resposta. 
18 minutos no telefone e aço a ligação, carai tá difícil."|oscilação de luz é essa gente, mandei co d de instalação e nada de resposta. 18 minutos no telefone e aço a ligação, carai tá difícil.|2021-02-01 04:56:25
Light|28|"@lightclientes Oscilação danada de luz em Light.
Coo dormir nesse calor, deixo registrado aqui pois se queimar minha geladeira procurarei meus direitos."|Oscilação danada de luz em Light. Coo dormir nesse calor, deixo registrado aqui pois se queimar minha geladeira procurarei meus direitos.|2021-02-01 04:52:04
Light|29|@lightclientes #luz 0420300830|0420300830|2021-02-01 04:48:36
Light|30|@lightclientes obrigado pela falta de luz no jardim botânico. to sobrevivendo a 30 graus sem ventilador|obrigado pela falta de luz no jardim botânico. to sobrevivendo a 30 graus sem ventilador|2021-02-01 04:41:51
Light|31|"@mimizent4 Olá, bom dia. Espero que esteja tudo bem com você.
 Você comunica a falta de luz enviando por DM para o @lightclientes #luz instalação, com espaço. Ex: #luz 040666663. Obrigado!"|Olá, bom dia. Espero que esteja tudo bem com você. Você comunica a falta de luz enviando por DM para o instalação, com espaço. Ex: 040666663. Obrigado!|2021-02-01 04:41:06
Light|32|@lightclientes||2021-02-01 04:39:18
Light|33|@zaylenasouls @lightclientes foi transformador???|foi transformador???|2021-02-01 04:35:21
Light|34|"estou sem luz #luz @lightclientes 
código do cliente: 22739086"|estou sem luz código do cliente: 22739086|2021-02-01 04:34:14
Light|35|@lightclientes É serio isso? To desde as 23:08 sem luz, voces pedem pra eu mandar mensagem na dm pra ter mais informações, pra chegar lá e dizer que é pra eu aguardar? Voces tao de sacanagem????!!! Isso é uma vergonha|É serio isso? To desde as 23:08 sem luz, voces pedem pra eu mandar mensagem na dm pra ter mais informações, pra chegar lá e dizer que é pra eu aguardar? Voces tao de sacanagem????!!! Isso é uma vergonha|2021-02-01 04:30:03
Light|36|@beyhiveFLA @lightclientes Kkkkkkkkkk|Kkkkkkkkkk|2021-02-01 04:29:35
Light|37|@lightclientes Bom dia o caralho e não tem nd bem porra|Bom dia o caralho e não tem nd bem porra|2021-02-01 04:27:11
Light|38|@Marraffc Você comunica a falta de luz enviando por DM para o @lightclientes #luz instalação, com espaço. Ex: #luz 040666663. Obrigado!|Você comunica a falta de luz enviando por DM para o instalação, com espaço. Ex: 040666663. Obrigado!|2021-02-01 04:26:52
Light|39|@beyhiveFLA Você comunica a falta de luz enviando por DM para o @lightclientes #luz instalação, com espaço. Ex: #luz 040666663. Obrigado!|Você comunica a falta de luz enviando por DM para o instalação, com espaço. Ex: 040666663. Obrigado!|2021-02-01 04:26:22
Light|40|@lightclientes Ja enviei, só falta voces responderem né|Ja enviei, só falta voces responderem né|2021-02-01 04:26:07
Light|41|@Marraffc @lightclientes De aonde você é?|De aonde você é?|2021-02-01 04:26:03
Light|42|@Marraffc @lightclientes Nem fala|Nem fala|2021-02-01 04:25:54
Light|43|@lightclientes vão ficar nessa putaria de desligar luz td hr? Bando de filho da puta|vão ficar nessa putaria de desligar luz td hr? Bando de filho da puta|2021-02-01 04:24:30
Light|44|"Mano, acabou a luz e eu estou c 20% de bateria, véi!
@lightclientes pavuna pede socorro kkkkkkk"|Mano, acabou a luz e eu estou c 20% de bateria, véi! pavuna pede socorro kkkkkkk|2021-02-01 04:24:08
Light|45|@lightclientes Não|Não|2021-02-01 04:24:01
Light|46|PORRA @lightclientes FALTOU LUZ DO NADA, AH NAO, TA UM INFERNO DE CALOR O RJ|PORRA FALTOU LUZ DO NADA, AH NAO, TA UM INFERNO DE CALOR O RJ|2021-02-01 04:21:16
Light|47|@lightclientes Enviar teu cu porra já voltou|Enviar teu cu porra já voltou|2021-02-01 04:20:15
Light|48|@lightclientes Nao está nada bem com a falta de luz todo dia na parte da noite! Quero alguma providencia da parte de voces, a conta esta paga e o serviço de voces nao esta sendo cumprido. Todo dia na parte da noite faltar luz em pleno verao do RJ, é de uma tremenda crueldade. Tomem atitude|Nao está nada bem com a falta de luz todo dia na parte da noite! Quero alguma providencia da parte de voces, a conta esta paga e o serviço de voces nao esta sendo cumprido. Todo dia na parte da noite faltar luz em pleno verao do RJ, é de uma tremenda crueldade. Tomem atitude|2021-02-01 04:19:41
Light|49|@lightclientes @FrododaTM Nada bem, já estamos esperando um retorno de vcs e nada|Nada bem, já estamos esperando um retorno de vcs e nada|2021-02-01 04:16:49
Light|50|@lightclientes da pra mandar uma equipe ligar a luz ou ta dificil? 5 dias seguidos caindo luz na parte da noite. Só no mes de janeiro foram 11 dias assim!!! Voces sao uma vergonha|da pra mandar uma equipe ligar a luz ou ta dificil? 5 dias seguidos caindo luz na parte da noite. Só no mes de janeiro foram 11 dias assim!!! Voces sao uma vergonha|2021-02-01 04:16:22
Light|51|@FrododaTM Você comunica a falta de luz enviando por DM para o @lightclientes #luz instalação, com espaço. Ex: #luz 040666663. Obrigado!|Você comunica a falta de luz enviando por DM para o instalação, com espaço. Ex: 040666663. Obrigado!|2021-02-01 04:16:05
Light|52|@lightclientes @alodnipselebasi Blá blá blá blá, responder aos usuários o pq da falta de luz até agora nada né|Blá blá blá blá, responder aos usuários o pq da falta de luz até agora nada né|2021-02-01 04:15:00
Light|53|@laaisa @lightclientes Amém minha amigo|Amém minha amigo|2021-02-01 04:14:52
Light|54|"@cyntialuisa @eurenesilva @kassimentz Olá, bom dia. Espero que esteja tudo bem com você.
 Você comunica a falta de luz enviando por DM para o @lightclientes #luz instalação, com espaço. Ex: #luz 040666663. Obrigado!"|Olá, bom dia. Espero que esteja tudo bem com você. Você comunica a falta de luz enviando por DM para o instalação, com espaço. Ex: 040666663. Obrigado!|2021-02-01 04:14:50
Light|55|@Polkadottys @Prefeitura_Rio @GovRJ @subcentrorio Você comunica a falta de luz enviando por DM para o @lightclientes #luz instalação, com espaço. Ex: #luz 040666663. Obrigado!|Você comunica a falta de luz enviando por DM para o instalação, com espaço. Ex: 040666663. Obrigado!|2021-02-01 04:14:32
Light|56|@lightclientes @Polkadottys @Prefeitura_Rio @GovRJ @subcentrorio Não adianta comunicar, nem por aqui nem via  Facebook eles não respondem 😡|Não adianta comunicar, nem por aqui nem via Facebook eles não respondem 😡|2021-02-01 04:14:02
Light|57|@lightclientes @_mihsame Tudo péssimo, vc estragando nossa noite|Tudo péssimo, vc estragando nossa noite|2021-02-01 04:12:15
Light|58|@josinmf @lightclientes Graças a Deus|Graças a Deus|2021-02-01 04:11:52
Light|59|@laaisa @lightclientes Aqui tem! Dessa vez não caiu aqui.|Aqui tem! Dessa vez não caiu aqui.|2021-02-01 04:11:28
